chembl_id	name	smiles	pAff
CHEMBL103769	1-{3-[(5-Bromo-pyridin-2-yl)-(3,4-dichloro-benzyl)-amino]-propyl}-3-[3-(1H-imidazol-4-yl)-propyl]-thiourea	Clc1ccc(CN(CCCNC(=S)NCCCc2c[nH]cn2)c3ccc(Br)cn3)cc1Cl	5.721766901165999
CHEMBL1076622	(4-(3,4-difluorophenyl)piperazin-1-yl)((4S,4aS,8aR)-2-((S)-2-methyl-3-(2-methylbenzo[d]oxazol-5-yl)propyl)decahydroisoquinolin-4-yl)methanone	C[C@H](CN1C[C@@H]2CCCC[C@@H]2[C@@H](C1)C(=O)N3CCN(CC3)c4ccc(F)c(F)c4)Cc5ccc6oc(C)nc6c5	4.774858401656
CHEMBL1076623	((4S,4aS,8aR)-2-((S)-3-(benzo[c][1,2,5]thiadiazol-5-yl)-2-methylpropyl)decahydroisoquinolin-4-yl)(4-(3,4-difluorophenyl)piperazin-1-yl)methanone fumarate	C[C@H](CN1C[C@@H]2CCCC[C@@H]2[C@@H](C1)C(=O)N3CCN(CC3)c4ccc(F)c(F)c4)Cc5ccc6nsnc6c5.OC(=O)\C=C\C(=O)O	4.964858977775999
CHEMBL1076624	(4-(3,4-difluorophenyl)piperazin-1-yl)((4S,4aS,8aR)-2-((S)-3-(6-methoxypyridin-3-yl)-2-methylpropyl)decahydroisoquinolin-4-yl)methanone fumarate	COc1ccc(C[C@H](C)CN2C[C@@H]3CCCC[C@@H]3[C@@H](C2)C(=O)N4CCN(CC4)c5ccc(F)c(F)c5)cn1.OC(=O)\C=C\C(=O)O	4.854858681505999
CHEMBL1076625	(4-(3,4-difluorophenyl)piperazin-1-yl)((4R,4aR,8aS)-2-((R)-3-(6-methoxypyridin-3-yl)-2-methylpropyl)decahydroisoquinolin-4-yl)methanone fumarate	COc1ccc(C[C@@H](C)CN2C[C@H]3CCCC[C@H]3[C@H](C2)C(=O)N4CCN(CC4)c5ccc(F)c(F)c5)cn1.OC(=O)\C=C\C(=O)O	3.9348584971459997
CHEMBL1077721	N-(1-(3-ethoxy-4-methoxybenzyl)piperidin-4-yl)oxazolo[5,4-b]pyridin-2-amine	CCOc1cc(CN2CCC(CC2)Nc3oc4ncccc4n3)ccc1OC	3.514858501346
CHEMBL1077722	N-(1-(3-ethoxy-4-methoxybenzyl)piperidin-4-yl)oxazolo[5,4-c]pyridin-2-amine	CCOc1cc(CN2CCC(CC2)Nc3oc4cnccc4n3)ccc1OC	3.514858501346
CHEMBL1077723	N-(1-(3-ethoxy-4-methoxybenzyl)piperidin-4-yl)oxazolo[4,5-b]pyridin-2-amine	CCOc1cc(CN2CCC(CC2)Nc3oc4cccnc4n3)ccc1OC	3.514858501346
CHEMBL1077724	N-(1-(3-ethoxy-4-methoxybenzyl)piperidin-4-yl)-1H-benzo[d]imidazol-2-amine	CCOc1cc(CN2CCC(CC2)Nc3nc4ccccc4[nH]3)ccc1OC	3.514858501346
CHEMBL1077742	N-(1-(3,4-dimethoxybenzyl)piperidin-4-yl)benzo[d]oxazol-2-amine	COc1ccc(CN2CCC(CC2)Nc3oc4ccccc4n3)cc1OC	3.514858501346
