chembl_id	name	smiles	pAff
CHEMBL108	10,11-Dihydro-dibenzo[b,f]azepine-5-carboxylic acid amide	NC(=O)N1c2ccccc2C=Cc3ccccc13	3.7988551577160004
CHEMBL16	5,5-Diphenyl-imidazolidine-2,4-dione	OC1=NC(=O)C(N1)(c2ccccc2)c3ccccc3	4.134647259636
CHEMBL287833	4-(4-fluorophenoxy)benzaldehyde semicarbazone	NC(=O)N\N=C\c1ccc(Oc2ccc(F)cc2)cc1	6.259585996246
CHEMBL289421	3-[4-(4-Fluoro-phenoxy)-phenyl]-pyrazole-1-carboxylic acid dimethylamide	CN(C)C(=O)n1ccc(n1)c2ccc(Oc3ccc(F)cc3)cc2	5.983379584305999
CHEMBL289425	3-[4-(4-Fluoro-phenoxy)-phenyl]-pyrazole-1-carboxylic acid amide	NC(=O)n1ccc(n1)c2ccc(Oc3ccc(F)cc3)cc2	7.023496807516
CHEMBL3085866	(S)-N-(2-Amino-4,5,6,7-tetrahydrobenzo[d]thiazol-6-yl)-1H-indole-2-carboxamide	Nc1nc2CC[C@@H](Cc2s1)NC(=O)c3cc4ccccc4[nH]3	4.79588001734
CHEMBL3085867	(S)-tert-Butyl 2-[((S)-2-amino-4,5,6,7-tetrahydrobenzo[d]thiazol-6-yl)carbamoyl]pyrrolidine-1-carboxylate	CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)N[C@H]2CCc3nc(N)sc3C2	5.09691001301
CHEMBL3085868	(S)-2-Amino-6-((S)-pyrrolidin-1-ium-2-carboxamido)-4,5,6,7-tetrahydrobenzo[d]thiazol-3-ium chloride	Cl.Cl.Nc1nc2CC[C@@H](Cc2s1)NC(=O)[C@@H]3CCCN3	4.60205999133
CHEMBL3085869	(S)-N-(2-Amino-4,5,6,7-tetrahydrobenzo[d]thiazol-6-yl)-1-methyl-1H-pyrrole-2-carboxamide	Cn1cccc1C(=O)N[C@H]2CCc3nc(N)sc3C2	4.79588001734
CHEMBL3085870	(S)-N-(2-Amino-4,5,6,7-tetrahydrobenzo[d]thiazol-6-yl)furan-2-carboxamide	Nc1nc2CC[C@@H](Cc2s1)NC(=O)c3occc3	3.52287874528
CHEMBL3085871	(S)-N6-((1H-Pyrrol-2-yl)methyl)-4,5,6,7-tetrahydrobenzo[d]thiazole-2,6-diamine	Nc1nc2CC[C@@H](Cc2s1)NCc3ccc[nH]3	4.52287874528
CHEMBL3085872	N-((2-Amino-4,5,6,7-tetrahydrobenzo[d]thiazol-6-yl)methyl)-1H-pyrrole-2-carboxamide	Nc1nc2CCC(CNC(=O)c3ccc[nH]3)Cc2s1	3.52287874528
CHEMBL3085873	N-((2-Amino-4,5,6,7-tetrahydrobenzo[d]thiazol-6-yl)methyl)-4-bromo-1H-pyrrole-2-carboxamide	Nc1nc2CCC(CNC(=O)c3cc(Br)c[nH]3)Cc2s1	3.52287874528
CHEMBL3085874	N-((2-Amino-4,5,6,7-tetrahydrobenzo[d]thiazol-6-yl)methyl)-4,5-dibromo-1H-pyrrole-2-carboxamide	Nc1nc2CCC(CNC(=O)c3cc(Br)c(Br)[nH]3)Cc2s1	3.52287874528
CHEMBL3085875	N-((2-Amino-4,5,6,7-tetrahydrobenzo[d]thiazol-6-yl)methyl)-1H-indole-2-carboxamide	Nc1nc2CCC(CNC(=O)c3cc4ccccc4[nH]3)Cc2s1	4.67778070527
CHEMBL3085876	(2S)-tert-Butyl-2-(((2-amino-4,5,6,7-tetrahydrobenzo[d]thiazol-6-yl)methyl)carbamoyl)pyrrolidine-1-carboxylate	CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)NCC2CCc3nc(N)sc3C2	3.52287874528
CHEMBL3085877	2-Amino-6-(((S)-pyrrolidin-1-ium-2-carboxamido)methyl)-4,5,6,7-tetrahydrobenzo[d]thiazol-3-ium chloride	Cl.Cl.Nc1nc2CCC(CNC(=O)[C@@H]3CCCN3)Cc2s1	3.52287874528
CHEMBL3085878	(S)-N-(2-Amino-4,5,6,7-tetrahydrobenzo[d]thiazol-6-yl)-1H-pyrrole-2-carboxamide	Nc1nc2CC[C@@H](Cc2s1)NC(=O)c3ccc[nH]3	3.52287874528
CHEMBL3085879	(S)-N-(2-Amino-4,5,6,7-tetrahydrobenzo[d]thiazol-6-yl)-4-bromo-1H-pyrrole-2-carboxamide	Nc1nc2CC[C@@H](Cc2s1)NC(=O)c3cc(Br)c[nH]3	3.52287874528
